Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeStreak,AwayStreak,HC,AC,Season,HomeAttackR,HomeMidfieldR,HomeDefenceR,HomeOverallR,AwayAttackR,AwayMidfieldR,AwayDefenceR,AwayOverallR,HomeGD,AwayGD,HomeForm,AwayForm,HomeStreakWeighted,AwayStreakWeighted,HomeGoals,HomeSOT,HomeCorners,AwayGoals,AwaySOT,AwayCorners,HomeAttackR,HomeMidfieldR,HomeDefenceR,HomeOverallR,AwayAttackR,AwayMidfieldR,AwayDefenceR,AwayOverallR
2023-08-11,Burnley,Man City,0,3,A,,,6,5,2023,73,74,74,74,87,87,84,85,0,0,1.0,1.0,,,,,,,,,73,74,74,74,87,87,84,85
2023-08-12,Arsenal,Nott'm Forest,2,1,H,,,8,3,2023,83,84,81,82,76,76,75,76,0,0,1.0,1.0,,,,,,,,,83,84,81,82,76,76,75,76
2023-08-12,Bournemouth,West Ham,1,1,D,,,10,4,2023,74,74,74,74,77,77,77,78,0,0,1.0,1.0,,,,,,,,,74,74,74,74,77,77,77,78
2023-08-12,Brighton,Luton,4,1,H,,,6,7,2023,76,78,78,77,72,71,72,72,0,0,1.0,1.0,,,,,,,,,76,78,78,77,72,71,72,72
2023-08-12,Everton,Fulham,0,1,A,,,10,4,2023,79,76,75,77,77,77,76,77,0,0,1.0,1.0,,,,,,,,,79,76,75,77,77,77,76,77
2023-08-12,Sheffield United,Crystal Palace,0,1,A,,,5,5,2023,69,73,72,72,75,76,76,76,0,0,1.0,1.0,,,,,,,,,69,73,72,72,75,76,76,76
2023-08-13,Brentford,Tottenham,2,2,D,,,3,6,2023,75,76,76,77,83,82,79,81,0,0,1.0,1.0,,,,,,,,,75,76,76,77,83,82,79,81
2023-08-13,Chelsea,Liverpool,1,1,D,,,4,4,2023,78,81,79,81,84,81,84,83,0,0,1.0,1.0,,,,,,,,,78,81,79,81,84,81,84,83
2023-08-14,Man United,Wolves,1,0,H,,,8,7,2023,82,84,82,82,78,77,75,77,0,0,1.0,1.0,,,,,,,,,82,84,82,82,78,77,75,77
2023-08-18,Nott'm Forest,Sheffield United,2,1,H,,,6,7,2023,76,76,75,76,69,73,72,72,-1,-1,0.9,0.9,,,,,,,,,76,76,75,76,69,73,72,72
2023-08-19,Fulham,Brentford,0,3,A,,,5,5,2023,77,77,76,77,75,76,76,77,1,0,1.1,1.0,,,,,,,,,77,77,76,77,75,76,76,77
2023-08-19,Liverpool,Bournemouth,3,1,H,,,10,2,2023,84,81,84,83,74,74,74,74,0,0,1.0,1.0,,,,,,,,,84,81,84,83,74,74,74,74
2023-08-19,Wolves,Brighton,1,4,A,,,5,3,2023,78,77,75,77,76,78,78,77,-1,3,0.9,1.1,,,,,,,,,78,77,75,77,76,78,78,77
2023-08-19,Tottenham,Man United,2,0,H,,,5,6,2023,83,82,79,81,82,84,82,82,0,1,1.0,1.1,,,,,,,,,83,82,79,81,82,84,82,82
2023-08-20,West Ham,Chelsea,3,1,H,,,3,9,2023,77,77,77,78,78,81,79,81,0,0,1.0,1.0,,,,,,,,,77,77,77,78,78,81,79,81
2023-08-21,Crystal Palace,Arsenal,0,1,A,,,1,8,2023,75,76,76,76,83,84,81,82,1,1,1.1,1.1,,,,,,,,,75,76,76,76,83,84,81,82
2023-08-25,Chelsea,Luton,3,0,H,,,6,4,2023,78,81,79,81,72,71,72,72,-2,-3,0.9,0.9,,,,,,,,,78,81,79,81,72,71,72,72
2023-08-26,Bournemouth,Tottenham,0,2,A,,,6,2,2023,74,74,74,74,83,82,79,81,-2,2,0.9,1.11,,,,,,,,,74,74,74,74,83,82,79,81
2023-08-26,Arsenal,Fulham,2,2,D,,,8,3,2023,83,84,81,82,77,77,76,77,2,-2,1.2100000000000002,0.9900000000000001,,,,,,,,,83,84,81,82,77,77,76,77
2023-08-26,Brentford,Crystal Palace,1,1,D,,,8,6,2023,75,76,76,77,75,76,76,76,3,0,1.11,0.9900000000000001,,,,,,,,,75,76,76,77,75,76,76,76
2023-08-26,Everton,Wolves,0,1,A,,,7,0,2023,79,76,75,77,78,77,75,77,-1,-4,0.9,0.81,,,,,,,,,79,76,75,77,78,77,75,77
2023-08-26,Man United,Nott'm Forest,3,2,H,,,11,3,2023,82,84,82,82,76,76,75,76,-1,0,0.9900000000000001,0.99,,,,,,,,,82,84,82,82,76,76,75,76
2023-08-26,Brighton,West Ham,1,3,A,,,17,4,2023,76,78,78,77,77,77,77,78,6,2,1.1900000000000002,1.1,,,,,,,,,76,78,78,77,77,77,77,78
2023-08-27,Sheffield United,Man City,1,2,A,,,1,12,2023,69,73,72,72,87,87,84,85,-2,3,0.81,1.1,,,,,,,,,69,73,72,72,87,87,84,85
2023-09-01,Luton,West Ham,1,2,A,,,9,6,2023,72,71,72,72,77,77,77,78,-6,4,0.81,1.219,,,,,,,,,72,71,72,72,77,77,77,78
2023-09-02,Sheffield United,Everton,2,2,D,,,4,6,2023,69,73,72,72,79,76,75,77,-3,-2,0.7290000000000001,0.81,,,,,,,,,69,73,72,72,79,76,75,77
2023-09-02,Brentford,Bournemouth,2,2,D,,,5,2,2023,75,76,76,77,74,74,74,74,3,-4,1.098,0.81,,,,,,,,,75,76,76,77,74,74,74,74
2023-09-02,Burnley,Tottenham,2,5,A,,,7,4,2023,73,74,74,74,83,82,79,81,-3,4,0.9,1.2000000000000002,,,,,,,,,73,74,74,74,83,82,79,81
2023-09-02,Chelsea,Nott'm Forest,0,1,A,,,8,0,2023,78,81,79,81,76,76,75,76,1,-1,0.99,0.891,,,,,,,,,78,81,79,81,76,76,75,76
2023-09-02,Man City,Fulham,5,1,H,,,4,5,2023,87,87,84,85,77,77,76,77,4,-2,1.181,1.012,,,,,,,,,87,87,84,85,77,77,76,77
2023-09-03,Crystal Palace,Wolves,3,2,H,,,4,2,2023,75,76,76,76,78,77,75,77,0,-3,1.002,0.9,,,,,,,,,75,76,76,76,78,77,75,77
2023-09-03,Arsenal,Man United,3,1,H,,,12,3,2023,83,84,81,82,82,84,82,82,2,0,1.1880000000000002,1.0890000000000002,,,,,,,,,83,84,81,82,82,84,82,82
2023-09-16,Wolves,Liverpool,1,3,A,,,4,4,2023,78,77,75,77,84,81,84,83,-4,2,0.81,1.1,,,,,,,,,78,77,75,77,84,81,84,83
2023-09-16,Fulham,Luton,1,0,H,,,6,2,2023,77,77,76,77,72,71,72,72,-6,-7,0.9108,0.7290000000000001,,,,,,,,,77,77,76,77,72,71,72,72
2023-09-16,Man United,Brighton,1,3,A,,,8,1,2023,82,84,82,82,76,78,78,77,-2,4,0.9801000000000002,1.0710000000000002,,,,,,,,,82,84,82,82,76,78,78,77
2023-09-16,Tottenham,Sheffield United,2,1,H,,,15,2,2023,83,82,79,81,69,73,72,72,7,-3,1.2900000000000003,0.7371000000000001,,,,,,,,,83,82,79,81,69,73,72,72
