HomeTeam,HomeXG,AwayTeam,AwayXG,Season
Burnley,0.3,Man City,1.9,2023-24
Arsenal,0.8,Nott'm Forest,1.2,2023-24
Everton,2.7,Fulham,1.5,2023-24
Sheffield United,0.5,Crystal Palace,1.9,2023-24
Brighton,4.0,Luton,1.5,2023-24
Bournemouth,1.3,West Ham,1.1,2023-24
Newcastle,3.3,Aston Villa,1.8,2023-24
Brentford,2.2,Tottenham,1.3,2023-24
Chelsea,1.4,Liverpool,1.3,2023-24
Man United,2.2,Wolves,2.2,2023-24
Nott'm Forest,1.4,Sheffield United,0.5,2023-24
Fulham,0.5,Brentford,3.7,2023-24
Liverpool,3.0,Bournemouth,1.3,2023-24
Wolves,2.1,Brighton,2.2,2023-24
Tottenham,1.7,Man United,2.1,2023-24
Man City,1.0,Newcastle,0.3,2023-24
Aston Villa,2.9,Everton,0.6,2023-24
West Ham,1.8,Chelsea,2.5,2023-24
Crystal Palace,1.0,Arsenal,2.0,2023-24
Chelsea,2.2,Luton,0.4,2023-24
Bournemouth,0.7,Tottenham,2.1,2023-24
Everton,1.3,Wolves,1.1,2023-24
Brentford,1.0,Crystal Palace,0.8,2023-24
Man United,2.8,Nott'm Forest,1.2,2023-24
Arsenal,3.2,Fulham,0.6,2023-24
Brighton,1.5,West Ham,3.0,2023-24
Sheffield United,0.7,Man City,3.5,2023-24
Burnley,0.7,Aston Villa,2.5,2023-24
Newcastle,2.0,Liverpool,0.9,2023-24
Luton,1.4,West Ham,1.0,2023-24
Sheffield United,1.2,Everton,2.5,2023-24
Chelsea,2.3,Nott'm Forest,0.8,2023-24
Man City,2.2,Fulham,1.4,2023-24
Brentford,2.9,Bournemouth,2.1,2023-24
Burnley,1.3,Tottenham,2.2,2023-24
Brighton,1.3,Newcastle,1.2,2023-24
Liverpool,2.5,Aston Villa,0.7,2023-24
Crystal Palace,2.1,Wolves,1.2,2023-24
Arsenal,2.3,Man United,0.9,2023-24
Wolves,0.6,Liverpool,2.5,2023-24
Fulham,1.0,Luton,1.1,2023-24
West Ham,0.9,Man City,3.6,2023-24
Aston Villa,3.0,Crystal Palace,1.2,2023-24
Man United,1.0,Brighton,1.7,2023-24
Tottenham,2.1,Sheffield United,0.7,2023-24
Newcastle,1.4,Brentford,0.5,2023-24
Bournemouth,1.0,Chelsea,1.8,2023-24
Everton,0.3,Arsenal,1.0,2023-24
Nott'm Forest,0.7,Burnley,0.5,2023-24
Man City,1.3,Nott'm Forest,1.0,2023-24
Luton,2.1,Wolves,0.6,2023-24
Crystal Palace,0.3,Fulham,0.6,2023-24
Brentford,1.0,Everton,1.9,2023-24
Burnley,1.1,Man United,1.0,2023-24
Arsenal,1.8,Tottenham,1.4,2023-24
Brighton,1.9,Bournemouth,1.1,2023-24
Chelsea,1.3,Aston Villa,1.0,2023-24
Liverpool,3.0,West Ham,1.1,2023-24
Sheffield United,0.9,Newcastle,3.9,2023-24
Aston Villa,1.6,Brighton,1.7,2023-24
Wolves,0.4,Man City,0.9,2023-24
Bournemouth,0.6,Arsenal,3.4,2023-24
Everton,2.9,Luton,0.9,2023-24
Newcastle,3.1,Burnley,0.6,2023-24
West Ham,2.1,Sheffield United,1.1,2023-24
Man United,1.3,Crystal Palace,0.9,2023-24
Tottenham,2.2,Liverpool,1.3,2023-24
Nott'm Forest,0.5,Brentford,1.6,2023-24
Fulham,1.1,Chelsea,1.7,2023-24
Luton,1.3,Burnley,1.1,2023-24
